ALPH	А	A	#
ALPH	Б	V	#
ALPH	В	B	#
ALPH	Г	F	#
ALPH	Д	D	#
ALPH	Е	E	#
ALPH	Ё	E	#
ALPH	Ж	G	#
ALPH	З	3	# цифра 3
ALPH	И	U	#
ALPH	Й	U	#
ALPH	К	K	#
ALPH	Л	L	#
ALPH	М	M	#
ALPH	Н	H	#
ALPH	О	0	#
ALPH	П	N	#
ALPH	Р	P	#
ALPH	С	C	#
ALPH	Т	T	#
ALPH	У	Y	#
ALPH	Ф	X	# не нашёл (временно X)
ALPH	Х	X	#
ALPH	Ц	S	#
ALPH	Ч	4	#
ALPH	Ш	W	#
ALPH	Щ	W	#
ALPH	Ъ	J	# не нашёл (временно мягкий знак J)
ALPH	Ы	Q	#
ALPH	Ь	J	#
ALPH	Э	3	# цифра 3
ALPH	Ю	O	#
ALPH	Я	R	#
ALPH	а	A	#
ALPH	б	V	#
ALPH	в	B	#
ALPH	г	F	#
ALPH	д	D	#
ALPH	е	E	#
ALPH	ё	E	#
ALPH	ж	G	#
ALPH	з	3	# цифра 3
ALPH	и	U	#
ALPH	й	U	#
ALPH	к	K	#
ALPH	л	L	#
ALPH	м	M	#
ALPH	н	H	#
ALPH	о	0	#
ALPH	п	N	#
ALPH	р	P	#
ALPH	с	C	#
ALPH	т	T	#
ALPH	у	Y	#
ALPH	ф	X	# не нашёл (временно X)
ALPH	х	X	#
ALPH	ц	S	#
ALPH	ч	4	#
ALPH	ш	W	#
ALPH	щ	W	#
ALPH	ъ	J	# не нашёл (временно мягкий знак J)
ALPH	ы	Q	#
ALPH	ь	J	#
ALPH	э	3	# цифра 3
ALPH	ю	O	#
ALPH	я	R	#
02FF	FD3F	    2	start_FD3F		# начало новой текстовой записи
02FF	FF00	    1	end_FF00		# конец текущей записи
02FF	FFFF	    1	end_FFFF		# конец данных
02FF	FE000FFF    2		start_FE000FFF		#
02FF	F7FFF7FF    2		start_F7FFF7FF		#
02FF	AFFF	    2	type_AFFF	#
02FF	BFFF	    2	type_BFFF	#
02FF	C3FF	    2	type_C3FF	#
02FF	C5FF	    2	type_C5FF	#
02FF	C9FF	    2	type_C9FF	#
02FF	CBFF	    2	type_CBFF	#
02FF	CDFF	    2	type_CDFF	#
02FF	CFFF	    2	type_CFFF	#
02FF	D1FF	    2	type_D1FF	#
02FF	D3FF	    2	type_D3FF	#
02FF	D5FF	    2	type_D5FF	#
02FF	D7FF	    2	type_D7FF	#
02FF	D9FF	    2	type_D9FF	#
02FF	DBFF	    2	type_DBFF	#
02FF	DDFF	    2	type_DDFF	#
02FF	DFFF	    2	type_DFFF	#
02FF	E1FF	    2	type_E1FF	#
02FF	E3FF	    2	type_E3FF	#
02FF	E5FF	    2	type_E5FF	#
02FF	E7FF	    2	type_E7FF	#
02FF	E9FF	    2	type_E9FF	#
02FF	EBFF	    2	type_EBFF	#
02FF	EDFF	    2	type_EDFF	#
02FF	EFFF	    2	type_EFFF	#
02FF	F1FF	    2	type_F1FF	#
02FF	F2FF	    2	type_F2FF	#
02FF	F3FF	    2	type_F3FF	#
02FF	F4FF	    2	type_F4FF	#
02FF	F5FF	    2	type_F5FF	#
02FF	F7FF	    2	type_F7FF	#
02FF	F8FF	    2	type_F8FF	#
02FF	F9FF	    2	type_F9FF	#
02FF	FAFF	    2	type_FAFF	#
02FF	FBFF	    2	type_FBFF	#
02FF	FCFF	    2	type_FCFF	#
02FF	FEFF	    2	type_FEFF	#
01FF	FF00	    	1	end_FF00   		# конец данных
01FF	FF03	    	3	ln_break_FF03		# перевод строки
01FF	FF04	    	0	ctrl_FF04
01FF	FF05	    	1	end_FF05   		# конец текста
01FF	FF06	    	0	separ_FF06
01FF	FF07	    	2	start_FF07 		#
01FF	FF08	    	2	start_FF08 		#
01FF	FF080000	    	2	start_FF080000	 #
